mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.937298583984375,0.9542866705626558,0.24713783264160155,0.1569620648964311,linear,scale,2,0.1,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 2, 'C': 0.1}",0.8304347826086956,0.836231884057971,0.8084179970972424,0.8490566037735849,0.8432510885341074,0.8334784712143202,0.01402180408436336,2
3.7706490993499755,1.1016349738918145,0.14965500831604003,0.08930061200957558,linear,scale,2,1,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 2, 'C': 1}",0.8260869565217391,0.836231884057971,0.8156748911465893,0.8505079825834543,0.8403483309143687,0.8337700090448245,0.011966265024668882,1
22.421212196350098,5.501399573187608,0.18611536026000977,0.04830161095768841,poly,scale,4,1,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'C': 1}",0.6869565217391305,0.6753623188405797,0.6763425253991292,0.6763425253991292,0.6792452830188679,0.6788498348793672,0.004257011178126632,9
1.0135996341705322,0.23509317417832656,0.26007556915283203,0.06120907831694044,rbf,auto,4,1,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'C': 1}",0.8231884057971014,0.8318840579710145,0.7924528301886793,0.8287373004354136,0.8171262699564587,0.8186777728697336,0.01404350846719529,6
1.3897615909576415,0.3662635660323364,0.2864847660064697,0.14890031375899163,rbf,auto,2,10,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'C': 10}",0.8144927536231884,0.8231884057971014,0.7982583454281568,0.8345428156748912,0.8229317851959361,0.8186828211438547,0.012038349464912845,5
2.355411195755005,0.42711524961190955,0.21246957778930664,0.013856043465816004,rbf,auto,4,100,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'C': 100}",0.8072463768115942,0.8159420289855073,0.7866473149492017,0.8301886792452831,0.8055152394775036,0.809107927893818,0.014226418604905719,7
1.6239664077758789,0.3264901227585419,0.2353821277618408,0.06741753634594372,rbf,scale,3,100,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'C': 100}",0.8231884057971014,0.836231884057971,0.7997097242380261,0.8447024673439768,0.8301886792452831,0.8268042321364716,0.015283118038567136,3
254.9563679218292,68.06264482848748,0.1124567985534668,0.014357462480844255,poly,auto,4,1,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'C': 1}",0.7913043478260869,0.7681159420289855,0.7619738751814223,0.7750362844702468,0.783744557329463,0.776035001367241,0.010526294697295656,8
1.595815944671631,0.32498347293931884,0.18189210891723634,0.044703067172692346,poly,scale,2,0.1,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 2, 'C': 0.1}",0.6768115942028986,0.6768115942028986,0.6777939042089985,0.6777939042089985,0.6763425253991292,0.6771107044445847,0.0005835335046816443,10
1.1062734603881836,0.3353328024907621,0.25692033767700195,0.09337998971405613,rbf,scale,4,100,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'C': 100}",0.8231884057971014,0.836231884057971,0.7997097242380261,0.8447024673439768,0.8301886792452831,0.8268042321364716,0.015283118038567136,3
